event_id,prob_12h,prob_24h,prob_48h,prob_72h
10662602,0.01563796677746998,0.024797687195914353,0.026386791204554116,1.0
13353600,0.6026472707020307,0.8872513095944943,0.9301055052187015,1.0
13942327,0.01169183264199769,0.020083772295609315,0.02530048047091582,1.0
16112781,0.5634464547009775,0.8593770140155441,0.8928419883078956,1.0
17132808,0.3356082142122583,0.3365825492637551,0.3372327263593867,1.0
17445696,0.01,0.014484838217212359,0.01594508143246698,1.0
17599982,0.012224843109517325,0.019625599918655423,0.021555106356890286,1.0
18750374,0.4753826441316019,0.794730590338369,0.8577159680566118,1.0
21365245,0.01,0.01,0.01,1.0
23634840,0.5514072432032899,0.8051080837494641,0.8658484339930874,1.0
24461897,0.011199353676146884,0.03715084221464704,0.03782138237896493,1.0
25353357,0.01468877106018407,0.023533030506911357,0.025054807476393215,1.0
27052376,0.6989188543086643,0.913597019904004,0.9436598425320254,1.0
29312582,0.011148123981551072,0.02044359329811074,0.021836509474207344,1.0
30451420,0.01,0.010813546702056143,0.018588796576156197,1.0
31488932,0.01,0.01,0.01,1.0
33717208,0.017273013679457883,0.026470291499902987,0.02833105719554152,1.0
34826241,0.02394316297432486,0.03860498441700566,0.04032827821435658,1.0
35311039,0.8869179592618663,0.9409424876124175,0.9512188818972351,1.0
36423390,0.016425556052339196,0.026640341128120637,0.02831045258267506,1.0
37196135,0.45711968462215613,0.8074902416332909,0.8799069609642589,1.0
37355453,0.01,0.01,0.01,1.0
37536067,0.46452033387132996,0.8066654059184191,0.8599056922554782,1.0
39717591,0.01,0.01,0.010328215914384375,1.0
40833127,0.014853180229973506,0.03289494039349872,0.03449140648374249,1.0
41907240,0.5772832773183774,0.831618706304628,0.9009190254453974,1.0
42963675,0.01,0.014617250361883105,0.015008913322820505,1.0
42997746,0.41154569388944384,0.411626994702452,0.411626994702452,1.0
43341281,0.01,0.012949411798312549,0.01659813000552024,1.0
43371713,0.43980488016762753,0.7259232001022127,0.8013485348100489,1.0
44872967,0.4502718976547233,0.8056197509169547,0.8457051821124325,1.0
46574754,0.47444071774693564,0.6866838105572721,0.741277378758495,1.0
46767506,0.4300487594565857,0.7937179359412462,0.8535956478507593,1.0
49169401,0.01,0.01,0.01,1.0
49502022,0.011482070663211608,0.027279591973802586,0.02887605806404636,1.0
49565135,0.9062874415756326,0.9376819200427182,0.9422859288811021,1.0
50233410,0.613339622085655,0.7990374820280809,0.8907309986043435,1.0
50541231,0.05406193453219643,0.06623418081987709,0.06866920841450364,1.0
51664538,0.010447990444232058,0.01744620056736934,0.01913490117398009,1.0
52004768,0.01,0.01760965847040774,0.01800132143134514,1.0
52039660,0.01,0.01,0.011170701886632162,1.0
52614032,0.010584534122612066,0.02032545356929194,0.023874988416617615,1.0
53407288,0.016585252552906438,0.030938020034315672,0.03292713955597537,1.0
53799231,0.01,0.02001137449944812,0.02040303746038541,1.0
54348573,0.011456196506500427,0.024690257144215577,0.026412137238128408,1.0
54459140,0.01,0.011712630951140612,0.01750421680407621,1.0
54759639,0.01,0.010845523722305628,0.016569782536083322,1.0
54801108,0.6673877011170579,0.856327672657815,0.899367853899379,1.0
55504460,0.5943342367850655,0.7628532414083843,0.8015517417395858,1.0
58802003,0.04902045286571488,0.06109199542164334,0.06297146746071447,1.0
58854430,0.05320049855125575,0.06319687119980477,0.06758653225553046,1.0
59191113,0.01,0.010555947235666552,0.011485383017520112,1.0
59221605,0.5507967229525053,0.8537283149802932,0.8855679983218334,1.0
60804856,0.7170699394052065,0.8814916999081038,0.9264089128962399,1.0
61713947,0.01,0.010547945236641154,0.011995016876495956,1.0
62129708,0.6656326854810344,0.8311252914564553,0.9040059187195323,1.0
66849621,0.803232068878122,0.8688717578696392,0.9036676475002177,1.0
67124529,0.01,0.019100791532193018,0.020418380419056192,1.0
69348035,0.010133340934653012,0.02129124688028594,0.022302189474198708,1.0
69572379,0.01,0.023088297576371097,0.023479960537308497,1.0
69836438,0.01,0.01,0.0106474178637187,1.0
70283101,0.6491240034272687,0.8209686035660394,0.8953902289218897,1.0
70501603,0.487008068399694,0.7918818361383527,0.8544779060666547,1.0
70993222,0.01,0.01,0.010457187692561098,1.0
71474230,0.4764684425800769,0.7848859741789658,0.8404928356933288,1.0
71532972,0.06224176177319729,0.07696964339776313,0.08246527800495818,1.0
